Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,95 % CI,Lower CI,Upper CI,FIPS,Geolocation,Region,State Abbreviation,Census Division,CI Available Flag,Data Value Category,Year Group
2021,Kentucky,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases (in thousands),Cases (in thousands),57.7,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
2021,Kentucky,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,65-74,65-74,Total Events,Total Events,"1,546",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Females,Age,45-64,45-64,Rate (per 100),Rate (per 100),19.7,16.1-23.2,16.1,23.2,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,65-74,65-74,Total Events,Total Events,"2,059",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Males,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),34.8,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Medium,2020-2024
2021,Kentucky,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65+,Total,Total Cases,Total Cases,"81,469",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,65-74,65-74,Crude Rate (per 100),Crude Rate (per 100),50.6,41.8-59.3,41.8,41.8,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,High,2020-2024
2021,Kentucky,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Rural and Urban Areas,Rural,Not Stratified,Overall,Overall,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",19.4,17.1-22.3,17.1,22.3,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Crude Rate (per 100),Crude Rate (per 100),69.7,63.6-75.8,63.5,63.5,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,High,2020-2024
2021,Kentucky,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Not Stratified,Overall,Overall,Age-adjusted Rate (per 100),Age-adjusted Rate (per 100),62.5,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
2021,Kentucky,High Blood Pressure,"Prevalence of Self-reported High Blood Pressure in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),109.8,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
2021,Kentucky,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Males,Age,65-74,65-74,Estimated Cases (in thousands),Estimated Cases (in thousands),58.9,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
2021,Kentucky,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),5.3,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Low,2020-2024
2021,Kentucky,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),57.2,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
2021,Kentucky,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases (in thousands),Cases (in thousands),114.9,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
2021,Kentucky,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18+,Total,Total Events,Total Events,"3,122",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65+,Total,Total Cases,Total Cases,"41,067",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,18+,Total,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",21.9,19.8-24.0,19.8,24,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Males,Age,18-44,18-44,Rate (per 100),Rate (per 100),5.8,3.4-8.2,3.4,8.2,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Low,2020-2024
2021,Kentucky,Coronary Heart Disease,"Prevalence of Coronary Heart Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Rural and Urban Areas,Urban Areas,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),38,37.4-38.1,37.4,37.4,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),6.7,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Low,2020-2024
2021,Kentucky,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases (in thousands),Cases (in thousands),19,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Medium,2020-2024
