Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,95 % CI,Lower CI,Upper CI,FIPS,Geolocation,Region,State Abbreviation,Census Division,CI Available Flag,Data Value Category,Year Group
2021,Alabama,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases (in thousands),Cases (in thousands),21.6,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Medium,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Females,Age,18-44,18-44,Rate (per 100),Rate (per 100),5.2,3.0-7.4,3,7.4,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Low,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"26,100",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases (in thousands),Cases (in thousands),137.9,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Education,Less than high school,Age,18+,Total,Rate (per 100),Rate (per 100),23.5,18.1-28.8,18.1,28.8,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,75+,75+,Total Cases,Total Cases,"27,254",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Rural and Urban Areas,Urban,Age,18+,Total,Rate (per 100),Rate (per 100),14.9,13.5-16.3,13.5,16.3,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),150.1,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65+,Total,Total Cases,Total Cases,"102,125",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),11.2,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Low,2020-2024
2021,Alabama,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Rural and Urban Areas,Rural Areas,Not Stratified,Overall,Overall,Total Cases (in thousands),Total Cases (in thousands),11,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Low,2020-2024
2021,Alabama,High Blood Pressure,"Prevalence of Self-reported High Blood Pressure in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Not Stratified,Overall,Overall,Age-adjusted Rate (per 100),Age-adjusted Rate (per 100),74.7,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),8,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Low,2020-2024
2021,Alabama,Diabetes Incidence,"Incidence of Diagnosed Diabetes in Adults, Aged 18-76 Years Old",Not Stratified,Overall,Not Stratified,Overall,Overall,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",10,7.5-13.2,7.5,13.2,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Low,2020-2024
2021,Alabama,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),122.8,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Males,Age,75+,75+,Estimated Cases (in thousands),Estimated Cases (in thousands),39.9,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Medium,2020-2024
2021,Alabama,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,65-74,65-74,Estimated Cases (in thousands),Cases (in thousands),112.2,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,65-74,65-74,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"16,650",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Males,Not Stratified,Overall,Overall,Age-adjusted Rate (per 100),Age-adjusted Rate (per 100),24.1,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Medium,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65+,Total,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"30,290",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Overall,Age,45-64,45-64,Rate (per 100),Rate (per 100),20.8,18.3-23.3,18.3,23.3,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Rural and Urban Areas,Rural,Age,18+,Total,Estimated Cases (in thousands),Estimated Cases (in thousands),82,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Females,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),68.4,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),46.7,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Females,Age,45-64,45-64,Estimated Cases (in thousands),Estimated Cases (in thousands),142.2,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Females,Age,75+,75+,Estimated Cases (in thousands),Estimated Cases (in thousands),49.3,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Education,More than high school,Age,18+,Total,Rate (per 100),Rate (per 100),13.1,11.6-14.5,11.6,14.5,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Low,2020-2024
2021,Alabama,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Crude Rate (per 100),Crude Rate (per 100),23,19.0-26.9,19,19,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,High Blood Pressure,"Prevalence of Self-reported High Blood Pressure in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,65-74,65-74,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),30.4,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Medium,2020-2024
2021,Alabama,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,65-74,65-74,Crude Rate (per 100),Crude Rate (per 100),27.4,19.8-34.9,19.8,19.8,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),80.9,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Overall,Age,65-74,65-74,Estimated Cases (in thousands),Estimated Cases (in thousands),154,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),71.4,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Rural and Urban Areas,Rural Areas,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),20,19.8-21.0,19.8,19.8,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65-74,65-74,Total Cases,Total Cases,"26,330",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Males,Age,75+,75+,Rate (per 100),Rate (per 100),26.4,19.5-33.2,19.5,33.2,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Crude Rate (per 100),Crude Rate (per 100),66.5,62.1-71.0,62.1,62.1,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,High,2020-2024
2021,Alabama,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Not Stratified,Overall,Overall,Crude Rate,Crude Rate (per 100),14.4,14.7-22.3,14.7,14.7,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Rural and Urban Areas,Urban Areas,Not Stratified,Overall,Overall,Total Cases (in thousands),Total Cases (in thousands),91,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,75+,75+,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"13,620",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Females,Not Stratified,Overall,Overall,Age-adjusted Rate,Age-adjusted Rate (per 100),24.1,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Medium,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,65-74,65-74,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"7,160",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,75+,75+,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"6,660",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Severe Vision Impairment or Blindness,"Prevalence of Self-reported Severe Vision Impairment or Blindness in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,65+,65+,Estimated Cases (in thousands),Cases (in thousands),12.5,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Low,2020-2024
2021,Alabama,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Males,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),24.1,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Medium,2020-2024
2021,Alabama,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Females,Not Stratified,Overall,Overall,Age-adjusted Rate (per 100),Age-adjusted Rate (per 100),67,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65-74,65-74,Total Cases,Total Cases,"25,511",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Rural and Urban Areas,Rural,Age,18+,Total,Rate (per 100),Rate (per 100),15.9,12.5-19.4,12.5,19.4,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Females,Age,18+,Total,Estimated Cases (in thousands),Estimated Cases (in thousands),324,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Severe Vision Impairment or Blindness,"Prevalence of Self-reported Severe Vision Impairment or Blindness in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Crude Rate (per 100),Crude Rate (per 100),10.5,6.3-14.7,6.3,6.3,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Low,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Overall,Age,45-64,45-64,Estimated Cases (in thousands),Estimated Cases (in thousands),265.3,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65-74,65-74,Total Cases,Total Cases,"14,327",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Income,Low income (<$35k),Age,18+,Total,Estimated Cases (in thousands),Estimated Cases (in thousands),214.7,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,65-74,65-74,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),36.8,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Medium,2020-2024
2021,Alabama,Severe Vision Impairment or Blindness,"Prevalence of Self-reported Severe Vision Impairment or Blindness in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Crude Rate (per 100),Crude Rate (per 100),13.5,8.0-18.9,8,8,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Estimated Cases (in thousands),Estimated Cases (in thousands),594.9,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),17.7,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Medium,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Income,High Income ($75k+),Age,18+,Total,Estimated Cases (in thousands),Estimated Cases (in thousands),97.3,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,75+,75+,Total Cases,Total Cases,"13,545",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65+,Total,Total Cases,Total Cases,"28,037",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,75+,75+,Crude Rate (per 100),Crude Rate (per 100),24.9,24.4-25.4,24.4,24.4,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),107.7,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Males,Not Stratified,Overall,Overall,Crude Rate,Crude Rate (per 100),13.1,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Low,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Rural and Urban Areas,Urban,Age,18+,Total,Estimated Cases (in thousands),Estimated Cases (in thousands),512.4,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Estimated Cases (in thousands),Cases (in thousands),137.6,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Race-Ethnicity,Non-Hispanic White,Age,18+,Total,Estimated Cases (in thousands),Estimated Cases (in thousands),362.3,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Overall,Not Stratified,Overall,Overall,Age-adjusted Rate (per 100),Age-adjusted Rate (per 100),13.3,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Medium,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Rural and Urban Areas,Urban Areas,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),38,37.3-37.9,37.3,37.3,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65-74,65-74,Total Cases,Total Cases,"50,927",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65-74,65-74,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"34,450",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Males,Age,65-74,65-74,Estimated Cases (in thousands),Estimated Cases (in thousands),67.4,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,75+,75+,Total Cases,Total Cases,"26,436",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases (in thousands),Cases (in thousands),222.3,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,65-74,65-74,Total Cases,Total Cases,"24,597",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,Coronary Heart Disease,"Prevalence of Coronary Heart Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Rural and Urban Areas,Urban Areas,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),40,39.7-40.3,39.7,39.7,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,75+,75+,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"6,150",Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,Not Available,2020-2024
2021,Alabama,High Blood Pressure,"Prevalence of Self-reported High Blood Pressure in Adults with Diabetes, Aged 18 Years or Older",Sex,Males,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),80.5,Not Available,Not Available,Not Available,1,POINT (-86.631861 32.840571),South,AL,East South Central,No,High,2020-2024
2021,Alabama,High Cholesterol,"Prevalence of Self-reported High Cholesterol in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,65-74,65-74,Crude Rate (per 100),Crude Rate (per 100),72.8,65.5-80.2,65.5,65.5,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,High,2020-2024
2021,Alabama,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Crude Rate (per 100),Crude Rate (per 100),24.2,14.8-33.7,14.8,14.8,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65-74,65-74,Crude Rate (per 100),Crude Rate (per 100),17.3,16.9-17.8,16.9,16.9,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Mobility Limitations,"Prevalence of Self-reported Mobility Limitations in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Crude Rate (per 100),Crude Rate (per 100),43.6,38.9-48.2,38.9,38.9,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Income,Low income (<$35k),Age,18+,Total,Rate (per 100),Rate (per 100),20.3,17.3-23.3,17.3,23.3,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
2021,Alabama,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Race-Ethnicity,Non-Hispanic Other Races,Age,18+,Total,Rate (per 100),Rate (per 100),15.9,9.2-22.6,9.2,22.6,1,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Medium,2020-2024
