Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Stratification 3,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group
2021,North Dakota,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,65-74,65-74,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),"1,513",38,POINT (-100.118421 47.47532),Midwest,ND,West North Central,Yes,Medium,2020-2024
2021,New Hampshire,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,75+,75+,None,Number of Days Lost Per Person with Diabetes,Days Lost Per PWD,4.7,33,POINT (-71.500361 43.65595),Northeast,NH,New England,Yes,Low,2020-2024
2021,Washington,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-74,Total,None,Cost (Dollars) Per Employed Person with Diabetes,Cost ($) Per Employed PWD,"1,198",53,POINT (-120.470011 47.522279),West,WA,Pacific,Yes,Medium,2020-2024
2021,Idaho,All Payers,"Annual Direct Medical Costs Attributable to Diabetes, All Payers",Sex,Females,Age,19+,Total,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),612,16,POINT (-114.36373 43.68263),West,ID,Mountain,Yes,Medium,2020-2024
2021,South Carolina,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,45-64,45-64,None,Work Productivity Cost (Dollars in Millions),Work Productivity Cost ($ in Millions),345.9,45,POINT (-81.045371 33.998821),South,SC,South Atlantic,Yes,Medium,2020-2024
2021,Missouri,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,18-44,18-44,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),96.9,29,POINT (-92.5663 38.635791),Midwest,MO,West North Central,Yes,Low,2020-2024
2021,California,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Males,Age,65+,65+,Other,Total Cost (Dollars in Millions),Total Cost ($ in Millions),"1,665.90",6,POINT (-121 37.63864),West,CA,Pacific,Yes,Medium,2020-2024
2021,Utah,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,18-44,18-44,None,Number of Days Lost Per Person with Diabetes,Days Lost Per PWD,2.6,49,POINT (-111.587131 39.3607),West,UT,Mountain,Yes,Low,2020-2024
2021,California,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,65-74,65-74,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),670,6,POINT (-121 37.63864),West,CA,Pacific,Yes,Medium,2020-2024
2021,New Hampshire,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,18-44,18-44,None,Number of Persons Unable to Work because of Diabetes,PWD Unable to Work ATD,603,33,POINT (-71.500361 43.65595),Northeast,NH,New England,Yes,Medium,2020-2024
