Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group,Location Type
2021,South Dakota,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Males,Age,15-44,15-44,Cause-specific Diabetes-Attributable Deaths: End Stage Renal Disease,Deaths ATD: End Stage Renal Disease,0,46,POINT (-100.373531 44.35313),Midwest,SD,West North Central,Yes,Low,2020-2024,State
2021,Washington,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Males,Age,15-44,15-44,All Causes of Death (Estimated),All Causes of Death,260,53,POINT (-120.470011 47.522279),West,WA,Pacific,Yes,High,2020-2024,State
2021,Colorado,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Females,Age,65-74,65-74,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,49,08,POINT (-106.133611 38.843841),West,CO,Mountain,Yes,Medium,2020-2024,State
2021,Colorado,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Females,Age,15+,Total,All Causes of Death (Estimated),All Causes of Death,64,08,POINT (-106.133611 38.843841),West,CO,Mountain,Yes,Medium,2020-2024,State
2021,New Hampshire,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Females,Age,18+,Average/Total,Number of Persons with Diabetes (in thousands),PWD (in thousands),43,33,POINT (-71.500361 43.65595),Northeast,NH,New England,Yes,Medium,2020-2024,State
2021,Arizona,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,45-64,45-64,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,40,04,POINT (-111.763811 34.86597),West,AZ,Mountain,Yes,Medium,2020-2024,State
2021,California,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Males,Age,65-74,65-74,Average QALYs Lost due to Diabetes,Average QALYs Lost ATD,2.5,06,POINT (-121 37.63864),West,CA,Pacific,Yes,Low,2020-2024,State
2021,Alabama,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Females,Age,45-64,45-64,Total YPLLs due to Diabetes (in thousands),Total YPLLs ATD (in thousands),0.7,01,POINT (-86.631861 32.840571),South,AL,East South Central,Yes,Low,2020-2024,State
2021,Washington,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Overall,Age,65-74,65-74,Number of Persons with Diabetes (in thousands),PWD (in thousands),143,53,POINT (-120.470011 47.522279),West,WA,Pacific,Yes,Medium,2020-2024,State
2021,California,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Females,Age,65-74,65-74,Cause-specific Diabetes-Attributable Deaths: End Stage Renal Disease,Deaths ATD: End Stage Renal Disease,"1,094",06,POINT (-121 37.63864),West,CA,Pacific,Yes,High,2020-2024,State
