"Year","Software Version","Patient County","PQI Number","PQI Name","Observed Rate Per 100,000 People","Expected Rate Per 100,000 People"
"2019","v2021","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","50.88","38.80"
"2019","v2021","Kings","PQI_01","Diabetes Short-Term Complications","76.13","86.01"
"2019","v2021","Kings","PQI_03","Diabetes Long-Term Complications","150.35","142.23"
"2019","v2021","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","37.82","33.31"
"2019","v2021","New York","PQI_01","Diabetes Short-Term Complications","58.02","66.94"
"2019","v2021","New York","PQI_03","Diabetes Long-Term Complications","114.15","121.71"
"2019","v2021","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","22.96","28.59"
"2019","v2021","Queens","PQI_01","Diabetes Short-Term Complications","54.12","73.57"
"2019","v2021","Queens","PQI_03","Diabetes Long-Term Complications","116.23","142.17"
"2019","v2021","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","32.23","33.75"
"2019","v2021","Richmond","PQI_01","Diabetes Short-Term Complications","54.20","61.43"
"2019","v2021","Richmond","PQI_03","Diabetes Long-Term Complications","174.49","116.06"
"2019","v2021","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","32.25","28.02"
"2018","v2021","Bronx","PQI_01","Diabetes Short-Term Complications","119.33","96.02"
"2018","v2021","Bronx","PQI_03","Diabetes Long-Term Complications","240.58","157.97"
"2018","v2021","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","51.47","37.96"
"2018","v2021","Kings","PQI_01","Diabetes Short-Term Complications","77.92","87.83"
"2018","v2021","Kings","PQI_03","Diabetes Long-Term Complications","141.85","133.96"
"2018","v2021","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","36.14","33.20"
"2018","v2021","New York","PQI_01","Diabetes Short-Term Complications","59.61","68.72"
"2018","v2021","New York","PQI_03","Diabetes Long-Term Complications","106.86","115.17"
"2018","v2021","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","25.52","28.61"
"2018","v2021","Queens","PQI_01","Diabetes Short-Term Complications","56.27","75.45"
"2018","v2021","Queens","PQI_03","Diabetes Long-Term Complications","108.56","134.36"
"2018","v2021","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","29.37","34.11"
"2018","v2021","Richmond","PQI_01","Diabetes Short-Term Complications","63.00","62.92"
"2018","v2021","Richmond","PQI_03","Diabetes Long-Term Complications","150.56","109.90"
"2018","v2021","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","29.90","27.25"
"2017","v2018","Bronx","PQI_01","Diabetes Short-Term Complications","78.04","60.25"
"2017","v2018","Bronx","PQI_03","Diabetes Long-Term Complications","212.74","140.09"
"2017","v2018","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","43.20","31.59"
"2017","v2018","Kings","PQI_01","Diabetes Short-Term Complications","46.38","56.77"
"2017","v2018","Kings","PQI_03","Diabetes Long-Term Complications","136.87","125.11"
"2017","v2018","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","29.62","28.92"
